Attack Coverage Report

Total attacks in ATTACK_LOG: 856
Overrides entries: 553

Per-attack summary (ATTACK_LOG order):
- Move: Status | Notes
- ------: -------- | -------
- Absorb: done | Heals half the damage dealt and logs the absorption event. | override: Heals half the damage dealt and logs the absorption event. | override_status: done
- Mist: done | Applies a three-charge blessing that blocks combat stage drops. | override: Applies a three-charge blessing that blocks combat stage drops. | override_status: done
- Mist Ball: done | Even-numbered rolls lower Special Attack by -1 CS. | override: Even-numbered rolls lower Special Attack by -1 CS. | override_status: done
- Misty Explosion: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Misty Terrain: done | Sets Misty Terrain for 5 rounds, blocks status/confusion for grounded targets, and halves Dragon damage. | override: Sets Misty Terrain for 5 rounds, blocks status/confusion for grounded targets, and halves Dragon damage. | override_status: done
- Moonblast: done | Lowers Special Attack by -1 CS on 15+. | override: Lowers Special Attack by -1 CS on 15+. | override_status: done
- Moongeist Beam: done | Ignores defensive abilities. | override: Ignores defensive abilities. | override_status: done
- Moonlight: done | Bespoke move hook supported by autonomous engine.
- Morning Sun: done | Bespoke move hook supported by autonomous engine.
- Mountain Gale: done | Bespoke move hook supported by autonomous engine.
- Mud Bomb: done | Bespoke move hook supported by autonomous engine.
- Mud Shot: done | Bespoke move hook supported by autonomous engine.
- Mud Sport: done | Bespoke move hook supported by autonomous engine.
- Mud-Slap: done | Bespoke move hook supported by autonomous engine.
- Muddy Water: done | Bespoke move hook supported by autonomous engine.
- Multi-Attack: done | Bespoke move hook supported by autonomous engine.
- Multi-Attack [SS]: done | Bespoke move hook supported by autonomous engine.
- Mystical Fire: done | Bespoke move hook supported by autonomous engine.
- Mystical Power: done | Bespoke move hook supported by autonomous engine.
- Name: done | Bespoke move hook supported by autonomous engine.
- Nasty Plot: done | Bespoke move hook supported by autonomous engine.
- Natural Gift: done | Bespoke move hook supported by autonomous engine.
- Nature Power: done | Bespoke move hook supported by autonomous engine.
- Nature's Madness: done | Bespoke move hook supported by autonomous engine.
- Needle Arm: done | Bespoke move hook supported by autonomous engine.
- Night Daze: done | Bespoke move hook supported by autonomous engine.
- Night Shade: done | Bespoke move hook supported by autonomous engine.
- Night Slash: done | Bespoke move hook + Critical hit on accuracy rolls of 18+ supported by autonomous engine.
- Nightmare: done | Bespoke move hook + Applies Bad Sleep to sleeping targets supported by autonomous engine.
- No Retreat: done | Bespoke move hook + Raises all stats by +1 CS and prevents switching out supported by autonomous engine.
- Noble Roar: done | Bespoke move hook + Lowers Attack and Special Attack by -1 CS on hit supported by autonomous engine.
- Nuzzle: done | Bespoke move hook + Paralyzes the target on hit supported by autonomous engine.
- Oblivion Wing: done | Bespoke move hook supported by autonomous engine.
- Obstruct: done | Bespoke move hook supported by autonomous engine.
- Octazooka: done | Bespoke move hook supported by autonomous engine.
- Octolock: done | Bespoke move hook supported by autonomous engine.
- Odor Sleuth: done | Bespoke move hook supported by autonomous engine.
- OH Adept: done | Placeholder move entry has no combat effect in the engine data. | override: Placeholder move entry has no combat effect in the engine data. | override_status: done
- Ominous Wind: done | Bespoke move hook supported by autonomous engine.
- Origin Pulse: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Outrage: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Overdrive: done | No bespoke effect beyond baseline damage. | override: No bespoke effect beyond baseline damage. | override_status: done
- Overheat: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Pain Split: done | Bespoke move hook supported by autonomous engine.
- Parabolic Charge: done | Bespoke move hook supported by autonomous engine.
- Parabolic Charge [SM]: done | Bespoke move hook supported by autonomous engine.
- Parting Shot: done | Bespoke move hook supported by autonomous engine.
- Pay Day: done | Bespoke move hook supported by autonomous engine.
- Payback: done | Bespoke move hook supported by autonomous engine.
- Peck: done | No bespoke effect beyond baseline damage. | override: No bespoke effect beyond baseline damage. | override_status: done
- Perish Song: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Petal Blizzard: done | No bespoke effect beyond baseline damage. | override: No bespoke effect beyond baseline damage. | override_status: done
- Petal Dance: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Phantom Force: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Photon Geyser: done | Bespoke move hook supported by autonomous engine.
- Pierce!: done | Bespoke move hook supported by autonomous engine.
- Pin Missile: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Plasma Fists: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Play Nice: done | Bespoke move hook supported by autonomous engine.
- Play Rough: done | Bespoke move hook supported by autonomous engine.
- Pluck: done | Bespoke move hook supported by autonomous engine.
- Poison Fang: done | Bespoke move hook supported by autonomous engine.
- Poison Gas: done | Bespoke move hook supported by autonomous engine.
- Poison Jab: done | Bespoke move hook supported by autonomous engine.
- Poison Powder: done | Bespoke move hook supported by autonomous engine.
- Poison Sting: done | Bespoke move hook supported by autonomous engine.
- Poison Tail: done | Bespoke move hook supported by autonomous engine.
- Pollen Puff: done | Bespoke move hook supported by autonomous engine.
- Poltergeist: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Pound: done | No bespoke effect beyond baseline damage. | override: No bespoke effect beyond baseline damage. | override_status: done
- Powder: done | Bespoke move hook supported by autonomous engine.
- Powder Snow: done | Bespoke move hook supported by autonomous engine.
- Power Gem: done | No bespoke effect beyond baseline damage. | override: No bespoke effect beyond baseline damage. | override_status: done
- Power Shift: done | Bespoke move hook supported by autonomous engine.
- Power Split: done | Bespoke move hook supported by autonomous engine.
- Power Swap: done | Bespoke move hook supported by autonomous engine.
- Power Trick: done | Bespoke move hook supported by autonomous engine.
- Power Trip: done | Bespoke move hook supported by autonomous engine.
- Power Whip: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Power-Up Punch: done | Bespoke move hook supported by autonomous engine.
- Precipice Blades: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Present: done | Bespoke move hook supported by autonomous engine.
- Prismatic Laser: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Protect: done | Bespoke move hook supported by autonomous engine.
- Psybeam: done | Bespoke move hook supported by autonomous engine.
- Psych Up: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Psychic: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Psychic Fangs: done | Bespoke move hook supported by autonomous engine.
- Psychic Terrain: done | Bespoke move hook supported by autonomous engine.
- Psycho Boost: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Psycho Cut: done | Bespoke move hook supported by autonomous engine.
- Psycho Shift: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Psyshield Bash: done | Bespoke move hook supported by autonomous engine.
- Psyshock: done | Bespoke move hook supported by autonomous engine.
- Psystrike: done | Bespoke move hook supported by autonomous engine.
- Psywave: done | Bespoke move hook supported by autonomous engine.
- Punishment: done | Bespoke move hook supported by autonomous engine.
- Purify: done | Bespoke move hook supported by autonomous engine.
- Pursuit: done | Bespoke move hook supported by autonomous engine.
- Push: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Pyro Ball: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Quash: done | Bespoke move hook supported by autonomous engine.
- Quick Attack: done | Bespoke move hook supported by autonomous engine.
- Quick Guard: done | Bespoke move hook supported by autonomous engine.
- Quiver Dance: done | Bespoke move hook supported by autonomous engine.
- Rage: done | Bespoke move hook supported by autonomous engine.
- Rage Powder: done | Bespoke move hook supported by autonomous engine.
- Raging Fury: done | Bespoke move hook supported by autonomous engine.
- Rain Dance: done | Bespoke move hook supported by autonomous engine.
- Rapid Spin: done | Bespoke move hook supported by autonomous engine.
- Rapid Spin [SS]: done | Bespoke move hook supported by autonomous engine.
- Razor Leaf: done | Bespoke move hook supported by autonomous engine.
- Razor Shell: done | Bespoke move hook supported by autonomous engine.
- Razor Wind: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Recover: done | Bespoke move hook supported by autonomous engine.
- Recycle: done | Bespoke move hook supported by autonomous engine.
- Reflect: done | Bespoke move hook supported by autonomous engine.
- Reflect Type: done | Bespoke move hook supported by autonomous engine.
- Refresh: done | Bespoke move hook supported by autonomous engine.
- Relic Song: done | Bespoke move hook supported by autonomous engine.
- Rending Spell: done | Bespoke move hook supported by autonomous engine.
- Resonance Beam: done | Bespoke move hook supported by autonomous engine.
- Rest: done | Bespoke move hook supported by autonomous engine.
- Retaliate: done | Bespoke move hook supported by autonomous engine.
- Return: done | Bespoke move hook supported by autonomous engine.
- Revelation Dance: done | Bespoke move hook supported by autonomous engine.
- Revenge: done | Bespoke move hook supported by autonomous engine.
- Reversal: done | Bespoke move hook supported by autonomous engine.
- Riposte: done | Bespoke move hook supported by autonomous engine.
- Rising Voltage: done | Bespoke move hook supported by autonomous engine.
- Roar: done | Bespoke move hook supported by autonomous engine.
- Roar of Time: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Rock Blast: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Rock Climb: done | Bespoke move hook supported by autonomous engine.
- Rock Polish: done | Bespoke move hook supported by autonomous engine.
- Rock Slide: done | Bespoke move hook supported by autonomous engine.
- Rock Smash: done | Bespoke move hook supported by autonomous engine.
- Rock Throw: done | Bespoke move hook supported by autonomous engine.
- Rock Tomb: done | Bespoke move hook supported by autonomous engine.
- Rock Wrecker: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Role Play: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Rolling Kick: done | Bespoke move hook supported by autonomous engine.
- Rollout: done | Bespoke move hook supported by autonomous engine.
- Roost: done | Bespoke move hook supported by autonomous engine.
- Rototiller: done | Bespoke move hook supported by autonomous engine.
- Round: done | Bespoke move hook supported by autonomous engine.
- Sacred Fire: done | Bespoke move hook supported by autonomous engine.
- Sacred Sword: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Safeguard: done | Bespoke move hook supported by autonomous engine.
- Salvo: done | Bespoke move hook supported by autonomous engine.
- Sand Attack: done | Bespoke move hook supported by autonomous engine.
- Sand Tomb: done | Bespoke move hook supported by autonomous engine.
- Sandstorm: done | Bespoke move hook supported by autonomous engine.
- Sandstorm Sear: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Scald: done | Bespoke move hook supported by autonomous engine.
- Scale Shot: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Scary Face: done | Bespoke move hook supported by autonomous engine.
- Scorching Sands: done | Bespoke move hook supported by autonomous engine.
- Scratch: done | Bespoke move hook supported by autonomous engine.
- Screech: done | Bespoke move hook supported by autonomous engine.
- Searing Shot: done | Bespoke move hook supported by autonomous engine.
- Secret Force: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Secret Power: done | Bespoke move hook supported by autonomous engine.
- Secret Sword: done | Bespoke move hook supported by autonomous engine.
- Seed Bomb: done | Bespoke move hook supported by autonomous engine.
- Seed Flare: done | Bespoke move hook supported by autonomous engine.
- Seismic Toss: done | Bespoke move hook supported by autonomous engine.
- Self-Destruct: done | Bespoke move hook supported by autonomous engine.
- Shadow Ball: done | Bespoke move hook supported by autonomous engine.
- Shadow Bone: done | Bespoke move hook supported by autonomous engine.
- Shadow Claw: done | Bespoke move hook supported by autonomous engine.
- Shadow Force: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Shadow Punch: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Shadow Sneak: done | Bespoke move hook supported by autonomous engine.
- Sharpen: done | Bespoke move hook supported by autonomous engine.
- Sheer Cold: done | Bespoke move hook supported by autonomous engine.
- Shell Side Arm: done | Bespoke move hook supported by autonomous engine.
- Shell Smash: done | Bespoke move hook supported by autonomous engine.
- Shell Trap: done | Hook implemented.
- Shelter: done | Hook implemented.
- Shift Gear: done | Hook implemented.
- Shock Wave: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Shore Up: done | Hook implemented.
- Signal Beam: done | Hook implemented.
- Silver Wind: done | Hook implemented.
- Simple Beam: done | Hook implemented.
- Sing: done | Hook implemented.
- Sketch: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Skill Swap: done | Hook implemented.
- Skitter Smack: done | Hook implemented.
- Skull Bash: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Sky Attack: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Sky Drop: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Sky Uppercut: done | Hook implemented.
- Slack Off: done | Hook implemented.
- Slam: done | Hook implemented.
- Slash: done | Hook implemented.
- Sleep Powder: done | Hook implemented.
- Sleep Talk: done | Hook implemented.
- Slice: done | Hook implemented.
- Sludge: done | Hook implemented.
- Sludge Bomb: done | Hook implemented.
- Sludge Wave: done | Hook implemented.
- Smack Down: done | Bespoke move hook supported by autonomous engine.
- Smart Strike: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Smelling Salts: done | Bespoke move hook supported by autonomous engine.
- Smog: done | Bespoke move hook supported by autonomous engine.
- Smokescreen: done | Bespoke move hook supported by autonomous engine.
- Snap Trap: done | Bespoke move hook supported by autonomous engine.
- Snarl: done | Bespoke move hook supported by autonomous engine.
- Snatch: done | Bespoke move hook supported by autonomous engine.
- Snipe Shot: done | Bespoke move hook supported by autonomous engine.
- Snore: done | Bespoke move hook supported by autonomous engine.
- Soak: done | Bespoke move hook supported by autonomous engine.
- Soft-Boiled: done | Bespoke move hook supported by autonomous engine.
- Solar Beam: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Solar Blade: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Sonic Boom: done | Bespoke move hook supported by autonomous engine.
- Spacial Rend: done | Bespoke move hook supported by autonomous engine.
- Spark: done | Bespoke move hook supported by autonomous engine.
- Sparkling Aria: done | Bespoke move hook supported by autonomous engine.
- Spectral Thief: done | Bespoke move hook supported by autonomous engine.
- Speed Swap: done | Bespoke move hook supported by autonomous engine.
- Spider Web: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Spike Cannon: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Spikes: done | Bespoke move hook supported by autonomous engine.
- Spiky Shield: done | Bespoke move hook supported by autonomous engine.
- Spirit Break: done | Bespoke move hook supported by autonomous engine.
- Spirit Lance: done | Hook implemented.
- Spirit Shackle: done | Hook implemented.
- Spit Up: done | Hook implemented.
- Spite: done | Hook implemented.
- Splash: done | Hook implemented.
- Spore: done | Hook implemented.
- Spotlight: done | Hook implemented.
- Springtide Storm: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Sprint: done | Hook implemented.
- Stealth Rock: done | Hook implemented.
- Steam Eruption: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Steamroller: done | Hook implemented.
- Steel Beam: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Steel Roller: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Steel Wing: done | Hook implemented.
- Sticky Web: done | Hook implemented.
- Stockpile: done | Hook implemented.
- Stomp: done | Hook implemented.
- Stomping Tantrum: done | Hook implemented.
- Stone Axe: done | Hook implemented.
- Stone Edge: done | Hook implemented.
- Stored Power: done | Hook implemented.
- Storm Throw: done | Hook implemented.
- Strange Steam: done | Hook implemented.
- Strength: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Strength Sap: done | Hook implemented.
- String Shot: done | Hook implemented.
- Struggle: done | Hook implemented.
- Struggle Bug: done | Hook implemented.
- Struggle+: done | Hook implemented.
- Stuff Cheeks: done | Bespoke move hook supported by autonomous engine.
- Stun Spore: done | Hook implemented.
- Submission: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Substitute: done | Hook implemented.
- Sucker Punch: done | Hook implemented.
- Sucker Punch [SM]: done | Hook implemented.
- Sunny Day: done | Hook implemented.
- Sunsteel Strike: done | Hook implemented.
- Super Fang: done | Hook implemented.
- Superpower: done | Hook implemented.
- Supersonic: done | Hook implemented.
- Surf: done | Hook implemented.
- Surging Strikes: done | Hook implemented.
- Swagger: done | Hook implemented.
- Swagger [SM]: done | Hook implemented.
- Swallow: done | Hook implemented.
- Sweeping Strike: done | Hook implemented.
- Sweet Kiss: done | Hook implemented.
- Sweet Scent: done | Hook implemented.
- Swift: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Switcheroo: done | Hook implemented.
- Swords Dance: done | Hook implemented.
- Synchronoise: done | Hook implemented.
- Synthesis: done | Hook implemented.
- Tackle: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Tackle [SM]: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Tail Glow: done | Hook implemented.
- Tail Slap: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Tail Whip: done | Hook implemented.
- Tailwind: done | Hook implemented.
- Take Aim: done | Hook implemented.
- Take Down: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Take Heart: done | Hook implemented.
- Tar Shot: done | Hook implemented.
- Taunt: done | Hook implemented.
- Tearful Look: done | Hook implemented.
- Teatime: done | Bespoke move hook supported by autonomous engine.
- Techno Blast: done | Hook implemented.
- Teeter Dance: done | Hook implemented.
- Telekinesis: done | Hook implemented.
- Teleport: done | Hook implemented.
- Terrain Pulse: done | Hook implemented.
- Terrorize: done | Hook implemented.
- Thief: done | Hook implemented.
- Thousand Arrows: done | Hook implemented.
- Thousand Waves: done | Hook implemented.
- Thrash: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Throat Chop: done | Hook implemented.
- Thunder: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Thunder Cage: done | Hook implemented.
- Thunder Fang: done | Hook implemented.
- Thunder Punch: done | Hook implemented.
- Thunder Shock: done | Hook implemented.
- Thunder Wave: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Thunder Wave [SM]: done | Hook implemented.
- Thunderbolt: done | Hook implemented.
- Thunderous Kick: done | Hook implemented.
- Tickle: done | Hook implemented.
- Titanic Slam: done | Hook implemented.
- Topsy-Turvy: done | Hook implemented.
- Torment: done | Hook implemented.
- Toxic: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Toxic Spikes: done | Hook implemented.
- Toxic Threads: done | Hook implemented.
- Transform: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Tri Attack: done | Hook implemented.
- Trick: done | Hook implemented.
- Trick Room: done | Hook implemented.
- Trick-or-Treat: done | Hook implemented.
- Trip: done | Bespoke move hook supported by autonomous engine.
- Triple Arrows: done | Hook implemented.
- Triple Axel: done | Hook implemented.
- Triple Kick: done | Hook implemented.
- Triple Kick [LA]: done | Hook implemented.
- Triple Threat: done | Hook implemented.
- Trop Kick: done | Hook implemented.
- Trump Card: done | Hook implemented.
- Twineedle: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Twister: done | Hook implemented.
- U-Turn: done | Hook implemented.
- Uproar: done | Hook implemented.
- V-Create: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Vacuum Wave: done | Hook implemented.
- Venom Drench: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Venoshock: done | Hook implemented.
- Vicegrip: done | Hook implemented.
- Victory Dance: done | Hook implemented.
- Vine Whip: done | Hook implemented.
- Vital Throw: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Volt Switch: done | Hook implemented.
- Volt Tackle: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Wake-Up Slap: done | Hook implemented.
- Water Gun: done | Hook implemented.
- Water Pledge: done | Bespoke move hook supported by autonomous engine.
- Water Pulse: done | Hook implemented.
- Water Shuriken: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Water Shuriken [SM]: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Water Sport: done | Hook implemented.
- Water Spout: done | Hook implemented.
- Waterfall: done | Hook implemented.
- Wave Crash: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Wear Down: done | Hook implemented.
- Weather Ball: done | Hook implemented.
- Whirlpool: done | Hook implemented.
- Whirlwind: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Wicked Blow: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Wide Guard: done | Hook implemented.
- Wild Charge: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Wildbolt Storm: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Will-O-Wisp: done | Hook implemented.
- Wing Attack: done | Hook implemented.
- Wish: done | Hook implemented.
- Withdraw: done | Hook implemented.
- Wonder Room: done | Hook implemented.
- Wood Hammer: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Work Up: done | Hook implemented.
- Worry Seed: done | Hook implemented.
- Wounding Strike: done | Hook implemented.
- Wrap: done | Hook implemented.
- Wring Out: done | Hook implemented.
- X-Scissor: done | Hook implemented.
- Yawn: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Zap Cannon: done | Hook implemented.
- Zen Headbutt: done | Hook implemented.
- Zing Zap: done | Hook implemented.
